City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Bintulu,MY,88.21,scattered clouds,3.1667,113.0333,900 Boutique INN
667,Chimoio,MZ,75.06,scattered clouds,-19.1164,33.4833,Predio Livraria Ahmed
668,Bogo,PH,83.59,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
674,Muli,MV,83.64,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
676,Baracoa,CU,75.88,few clouds,20.3467,-74.4958,Hostal Rio Miel
680,Kollam,IN,82.27,light rain,8.8833,76.6,Nani Hotels and Resorts
682,Mahanoro,MG,82.85,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
683,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
688,Kudahuvadhoo,MV,83.46,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
692,Matay,EG,82.47,clear sky,28.419,30.7792,Nag Aespen
